,Artist,Album,Year,Label,Played on RKoL Date,Condition,Condition Notes,Generic Notes On Album Content
141,The Harry Simeone Chorale,The Little Drummer Boy: A Christmas Festival,????,Mistletoe Records MLP-1201,n/a,,,
142,Skiles & Henderson,Do it do it do it!,????,Liberty LST-7596,n/a,,,
143,The Smothers Brothers,At The Purple Onion,1961,Mercury MG 20611,n/a,,,
144,The Smothers Brothers,The Two Sides Of The Smother's Brothers,1962,Mercury MG 20675,n/a,,,
145,The Smothers Brothers,Think Ethnic!,1963,Mercury MG 20777,n/a,,,
146,The Smothers Brothers,mom always LIKED YOU BEST,1966,Mercury MG 21051,07/11/11,,,
147,The Smothers Brothers,Curb your tongue, knave!,1963,Mercury SR 60862,n/a,,
148,The Smothers Brothers,It must have been something I said!,1964,Mercury MG 20904,n/a,VG+,,
149,The Smothers Brothers,Tour De Farce American History and Other Unrelated Subjects,1965,Mercury MG 20948,n/a,VG+,,
150,The Smothers Brothers,Smothers Brothers Comedy Hour,1968,Mercury SR 61193,n/a,VG+,,
151,The Smothers Brothers,Golden Hits of the Smothers Brothers Vol. 2,1969,Mercury SR 61089,n/a,VG,Cover moisture damage and ring wear. vinyl needs a good cleaning,Master audio quality is poor as only one microphone is audible at a time.
152,The Smothers Brothers,Aesop's Fables The Smothers Brothers Way,1965,Mercury MG 20989,05/29/12,G+,Playable, mostly clean.  Cover is ok.
153,Al Sparks,I Heard It At The Barber Shop,????,La Val Records LVP 903,10/17/11,,,
154,Russ Spooner,You've Just Been Spoonerized,1972,Mega M51-5007,n/a,,,
155,David Steinberg,Booga! Booga!,1974,Columbia KC 32563,n/a,,,
156,David Steinberg,Disguised as a Normal Person,1970,Elektra Records EKS-74065,08/20/12,VG,,
157,Ray Stevens,Shriner's Convention,1980,RCA AHL1-3574,n/a,VG,light mold on cover, label damage. needs pro clean
158,Ray Stevens,Unreal !!!,1970,Barnaby Records Z 30092,n/a,VG,First Play Vinyl, insect eaten cover/paper
159,Soundtrack,The Music Of Cosmos,1981,RCA ABL1-4003,n/a,,,
160,Soundtrack,Revolution,1968,United Artists UAS-5185,n/a,,,
161,Lily Tomlin,This Is A Recording,1971,Polydor 24-4055,08/29/11,,,
162,Lily Tomlin,Modern Scream,1975,Polydor PD 6051,07/04/11,,,
163,Clay Tyson,Digs The Beatnicks,????,Up Front UPF-117,n/a,,,
164,Lester Young,Vol 3 Live Recording 1949 at Royal Roost New York City,????,Musicdisc JA 5214,12/27/10,,,
165,Various,The Shadow 3 record set,????,Murrayhill Records 894599,various dates,,,
166,Various,The Shadow Vol. 2,1972,Mark Records 56,09/20/11,,,
167,Various,The Watergate Comedy Hour,1973,Hidden Records ST-11202,n/a,,,
168,Various,Here's Johnny Magic Moments from the Tonight Show,1974,Casablanca SPNB 1296,11/01/11,,,
169,Various,The Delegates,????,Mainstream Records MRL-100,n/a,,,
170,Various,Reefer Madness,1979,Stash Records ST-119,10/18/11,,,
